"build","date","time","subject","group","blockcode","blocknum","trialcode","trialnum","stimulusitem1","stimulusitem2","values.pointsthisturn","values.newtotalscore","response","latency","values.leftoption","values.rightoption","values.leftpic","values.rightpic","values.selecteddirn","values.selectedoption","values.turnnum","values.choicert","values.largegainpic_category","values.smallgainpic_category","values.smalllosspic_category","values.largelosspic_category","values.largegainpic","values.smallgainpic","values.smalllosspic","values.largelosspic","values.risky1pic","values.risky2pic","values.safe1pic","values.safe2pic"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructionSlidesLastSection","11","slide15.jpg","0","0","0","57","23550","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructionSlidesLastSection","12","slide16.jpg","0","0","0","57","5294","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe1question","2","dark-red-rectangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","0","0","2","16095","safe1","risky2","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","left","safe1","1","6741","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","smallgain","3","hammer.jpg","2","2","2","0","2500","safe1","risky2","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","left","safe1","1","6741","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe2question","5","light-red-triangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","2","2","5","4496","risky2","safe2","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>light-red-triangle-safe.jpg","right","safe2","2","4992","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","smallloss","6","animal-silhouette-dog2nohead.jpg","2","-1","1","0","2500","risky2","safe2","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>light-red-triangle-safe.jpg","right","safe2","2","4992","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky2question","8","light-blue-star-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","-1","1","5","1909","safe2","risky2","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","3","5655","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largeloss","9","house.jpg","-9","-9","-8","0","2500","safe2","risky2","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","3","5655","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky2question","11","light-blue-star-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","-9","-8","5","1394","safe1","risky2","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","4","6010","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largegain","12","face-03.jpg","10","10","2","0","2500","safe1","risky2","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","4","6010","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky1question","14","dark-blue-circle-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","10","2","5","2332","risky2","safe1","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","left","risky2","5","4987","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largegain","15","face-03.jpg","10","10","12","0","2500","risky2","safe1","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","left","risky2","5","4987","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky2question","17","light-blue-star-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","10","12","5","2183","safe2","risky2","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","6","6823","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","smallloss","18","animal-silhouette-dog2nohead.jpg","2","-1","11","0","2500","safe2","risky2","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","6","6823","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe1question","20","dark-red-rectangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","-1","11","2","2128","safe1","risky1","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","left","safe1","7","3400","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","smallgain","21","hammer.jpg","2","2","13","0","2500","safe1","risky1","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","left","safe1","7","3400","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe2question","23","light-red-triangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","2","13","2","1469","risky1","safe2","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-red-triangle-safe.jpg","right","safe2","8","2981","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largegain","24","face-03.jpg","10","10","23","0","2500","risky1","safe2","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-red-triangle-safe.jpg","right","safe2","8","2981","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky1question","26","dark-blue-circle-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","10","23","5","2589","safe2","risky1","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","right","safe2","9","1947","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largeloss","27","house.jpg","-9","-9","14","0","2500","safe2","risky1","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","right","safe2","9","1947","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe1question","29","dark-red-rectangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","-9","14","2","2256","safe1","risky1","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","left","safe1","10","3734","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largeloss","30","house.jpg","-9","-9","5","0","2500","safe1","risky1","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","left","safe1","10","3734","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe1question","32","dark-red-rectangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","-9","5","2","2210","risky1","safe1","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","right","safe1","11","3927","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","smallloss","33","animal-silhouette-dog2nohead.jpg","2","-1","4","0","2500","risky1","safe1","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","right","safe1","11","3927","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky1question","35","dark-blue-circle-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","-1","4","5","1879","risky2","safe1","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","left","risky2","12","2083","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largegain","36","face-03.jpg","10","10","14","0","2500","risky2","safe1","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","left","risky2","12","2083","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","risky2question","38","light-blue-star-risky.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","10","14","5","1553","safe2","risky2","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","13","2477","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","largegain","39","face-03.jpg","10","10","24","0","2500","safe2","risky2","<%values.imagespath%>light-red-triangle-safe.jpg","<%values.imagespath%>light-blue-star-risky.jpg","right","risky2","13","2477","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","testblock","2","safe2question","41","light-red-triangle-safe.jpg","Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'","10","24","2","1550","risky1","safe2","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-red-triangle-safe.jpg","right","safe2","14","4140","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
